name,position,season,games_played,total_tackles,sacks,safties,passes_defended,interceptions,ints_for_tds,int_yards,longest_int_return
"Walton, L.T.",DE,2016,10,8,0,0,1,0,0,0,0
"Walton, L.T.",DE,2015,6,0,0,0,0,0,0,0,0
"Coleman, Kurt",SS,2016,15,95,1,0,7,4,1,57,37
"Coleman, Kurt",SS,2015,15,90,1,0,9,7,1,89,36T
"Coleman, Kurt",SS,2014,15,37,0,0,6,3,0,12,12
"Coleman, Kurt",SS,2013,15,14,0,0,0,0,0,0,0
"Coleman, Kurt",SS,2012,14,93,0,0,4,2,0,13,7
"Coleman, Kurt",SS,2011,15,78,0,0,5,4,0,60,35
"Coleman, Kurt",SS,2010,15,36,0,0,2,1,0,7,7
"Carrie, T.J.",SS,2016,16,25,0,0,4,1,0,14,14
"Carrie, T.J.",SS,2015,15,52,0,0,9,1,0,2,2
"Carrie, T.J.",SS,2014,13,44,0,0,8,1,0,28,28
"Allen, Nate",DB,2016,14,33,0,0,3,2,0,5,4
"Allen, Nate",DB,2015,5,11,0,0,2,1,0,5,5
"Allen, Nate",DB,2014,15,62,1,0,5,4,0,45,40
"Allen, Nate",DB,2013,16,82,1,0,5,1,0,43,43
"Allen, Nate",DB,2012,15,73,0,0,4,0,0,0,0
"Allen, Nate",DB,2011,15,59,0,0,7,2,0,44,31
"Allen, Nate",DB,2010,13,48,2,0,8,3,0,27,16
"Bausby, DeVante",CB,2016,4,12,0,0,0,0,0,0,0
"Johnson, Trumaine",CB,2016,14,57,0,0,11,1,0,0,0
"Johnson, Trumaine",CB,2015,14,71,0,0,17,7,1,136,58T
"Johnson, Trumaine",CB,2014,9,36,0,0,6,3,1,69,43T
"Johnson, Trumaine",CB,2013,16,68,0,0,11,3,0,36,29
"Johnson, Trumaine",CB,2012,16,31,0,0,8,2,0,4,4
"Riley, Perry",MLB,2016,11,48,0,0,1,0,0,0,0
"Riley, Perry",MLB,2015,9,43,0,0,3,2,0,7,7
"Riley, Perry",MLB,2014,14,93,2,0,4,0,0,0,0
"Riley, Perry",MLB,2013,16,115,3,0,8,1,0,0,0
"Riley, Perry",MLB,2012,16,129,3.5,0,7,0,0,0,0
"Riley, Perry",MLB,2011,16,68,1,0,4,0,0,0,0
"Riley, Perry",MLB,2010,8,7,0,0,0,0,0,0,0
"Blackmon, Will",FS,2016,15,41,0.5,0,3,1,0,79,79
"Blackmon, Will",FS,2015,15,49,1,0,9,2,0,7,6
"Blackmon, Will",FS,2014,8,30,1,0,0,0,0,0,0
"Blackmon, Will",FS,2013,15,40,1,0,11,1,0,1,1
"Blackmon, Will",FS,2011,6,6,0,0,0,0,0,0,0
"Blackmon, Will",FS,2010,5,2,0,0,0,0,0,0,0
"Blackmon, Will",FS,2009,3,1,0,0,0,0,0,0,0
"Blackmon, Will",FS,2008,16,35,0,0,0,0,0,0,0
"Blackmon, Will",FS,2007,9,4,0,0,1,0,0,0,0
"Blackmon, Will",FS,2006,4,1,0,0,0,0,0,0,0
"Jackson, Malik",DT,2016,16,33,6.5,0,4,0,0,0,0
"Jackson, Malik",DT,2015,16,45,5,1,7,0,0,0,0
"Jackson, Malik",DT,2014,16,42,3,0,4,0,0,0,0
