name,position,season,team,games_played,returns,yards_returned,yards_per_return,longest_return,returns_for_tds,fair_catches,fumbles
"Carrie, T.J.",SS,2016,Oakland Raiders,16,7,74,10.6,18,0,8,0
"Carrie, T.J.",SS,2015,Oakland Raiders,15,19,118,6.2,22,0,2,0
"Carrie, T.J.",SS,2014,Oakland Raiders,13,26,195,7.5,27,0,11,1
"Blackmon, Will",FS,2016,Washington Redskins,15,1,16,16,16,0,1,0
"Blackmon, Will",FS,2015,Washington Redskins,15,0,0,0,0,0,0,0
"Blackmon, Will",FS,2014,Jacksonville Jaguars,8,0,0,0,0,0,0,0
"Blackmon, Will",FS,2013,Jacksonville Jaguars,15,5,2,0.4,5,0,5,0
"Blackmon, Will",FS,2011,New York Giants,6,6,25,4.2,16,0,2,1
"Blackmon, Will",FS,2010,New York Giants,5,14,94,6.7,22,0,7,2
"Blackmon, Will",FS,2009,Green Bay Packers,3,3,11,3.7,6,0,1,0
"Blackmon, Will",FS,2008,Green Bay Packers,16,36,398,11.1,76T,2,11,4
"Blackmon, Will",FS,2007,Green Bay Packers,9,8,106,13.3,57T,1,0,0
"Blackmon, Will",FS,2006,Green Bay Packers,4,0,0,0,0,0,0,0
"Tate, Brandon",WR,2016,Buffalo Bills,15,26,301,11.6,43,0,14,0
"Tate, Brandon",WR,2015,Cincinnati Bengals,16,27,171,6.3,18,0,11,1
"Tate, Brandon",WR,2014,Cincinnati Bengals,16,18,174,9.7,49,0,14,1
"Tate, Brandon",WR,2013,Cincinnati Bengals,16,36,336,9.3,43,0,16,1
"Tate, Brandon",WR,2012,Cincinnati Bengals,16,21,187,8.9,32,0,11,2
"Tate, Brandon",WR,2011,Cincinnati Bengals,16,51,543,10.6,56T,1,17,1
"Tate, Brandon",WR,2010,New England Patriots,16,1,4,4,4,0,0,0
"Tate, Brandon",WR,2009,New England Patriots,2,0,0,0,0,0,0,0
"Chung, Patrick",SS,2016,New England Patriots,16,1,7,7,7,0,1,0
"Chung, Patrick",SS,2015,New England Patriots,15,1,4,4,4,0,0,0
"Chung, Patrick",SS,2014,New England Patriots,16,0,0,0,0,0,0,0
"Chung, Patrick",SS,2013,Philadelphia Eagles,12,0,0,0,0,0,0,0
"Chung, Patrick",SS,2012,New England Patriots,12,0,0,0,0,0,0,0
"Chung, Patrick",SS,2011,New England Patriots,8,0,0,0,0,0,0,0
"Chung, Patrick",SS,2010,New England Patriots,14,0,0,0,0,0,0,0
"Chung, Patrick",SS,2009,New England Patriots,16,0,0,0,0,0,0,0
"McClain, Robert",DB,2016,San Diego Chargers,3,0,0,0,0,0,0,0
"McClain, Robert",DB,2016,Carolina Panthers,11,0,0,0,0,0,0,0
"McClain, Robert",DB,2015,Carolina Panthers,3,2,5,2.5,3,0,2,0
"McClain, Robert",DB,2014,Atlanta Falcons,16,0,0,0,0,0,0,0
"McClain, Robert",DB,2013,Atlanta Falcons,16,19,193,10.2,25,0,9,1
"McClain, Robert",DB,2012,Atlanta Falcons,15,0,0,0,0,0,0,0
"McClain, Robert",DB,2011,Jacksonville Jaguars,0,0,0,0,0,0,0,0
"McClain, Robert",DB,2010,Carolina Panthers,16,0,0,0,0,0,0,0
"Randall, Damarious",CB,2016,Green Bay Packers,10,1,2,2,2,0,0,0
"Randall, Damarious",CB,2015,Green Bay Packers,15,0,0,0,0,0,0,0
"Jones, T.J.",WR,2016,Detroit Lions,3,0,0,0,0,0,0,0
"Jones, T.J.",WR,2015,Detroit Lions,10,7,59,8.4,28,0,6,2
"Cooper, Amari",WR,2016,Oakland Raiders,16,0,0,0,0,0,0,0
"Cooper, Amari",WR,2015,Oakland Raiders,16,8,41,5.1,18,0,0,0
"Porter, Tracy",CB,2016,Chicago Bears,16,0,0,0,0,0,0,0
"Porter, Tracy",CB,2015,Chicago Bears,14,0,0,0,0,0,0,0
"Porter, Tracy",CB,2014,Washington Redskins,3,0,0,0,0,0,0,0
"Porter, Tracy",CB,2013,Oakland Raiders,16,0,0,0,0,0,0,0
"Porter, Tracy",CB,2012,Denver Broncos,6,0,0,0,0,0,0,0
"Porter, Tracy",CB,2011,New Orleans Saints,14,0,0,0,0,0,0,0
"Porter, Tracy",CB,2010,New Orleans Saints,12,2,6,3,4,0,0,0
"Porter, Tracy",CB,2009,New Orleans Saints,12,0,0,0,0,0,0,0
"Porter, Tracy",CB,2008,New Orleans Saints,5,0,0,0,0,0,0,0
"White, DeAndrew",WR,2015,San Francisco 49ers,4,1,4,4,4,0,0,0
"Dunbar, Quinton",CB,2016,Washington Redskins,14,1,0,0,0,0,0,1
"Dunbar, Quinton",CB,2015,Washington Redskins,11,0,0,0,0,0,0,0
"Rodgers-Cromartie, Dominique",CB,2016,New York Giants,15,0,0,0,0,0,0,0
"Rodgers-Cromartie, Dominique",CB,2015,New York Giants,15,0,0,0,0,0,0,0
"Rodgers-Cromartie, Dominique",CB,2014,New York Giants,16,0,0,0,0,0,0,0
"Rodgers-Cromartie, Dominique",CB,2013,Denver Broncos,15,0,0,0,0,0,0,0
"Rodgers-Cromartie, Dominique",CB,2012,Philadelphia Eagles,16,0,0,0,0,0,0,0
