rank,first_name,last_name,years_active,starting_year,total_games,total_wins,total_losses,total_ties,win_percentage,playoff_years,playoff_game_win_percentage,avg_div_rank,superbowl_titles,conference_titles,current_team
4,Bill,Belichick,23,1991-2017,359,242,117,0,0.674,15,0.722,1.7,5,7,New England Patriots
11,Andy,Reid,19,1999-2017,295,178,116,1,0.605,12,0.478,2.1,0,1,Kansas City Chiefs
23,John,Fox,16,2002-2017,247,131,116,0,0.53,7,0.533,2.4,0,2,Chicago Bears
29,Marvin,Lewis,15,2003-2017,230,120,107,3,0.528,7,0,2.3,0,0,Cincinnati Bengals
31,Mike,McCarthy,12,2006-2017,183,118,64,1,0.648,9,0.556,1.6,1,1,Green Bay Packers
37,Mike,Tomlin,11,2007-2017,167,108,59,0,0.647,7,0.571,1.6,1,2,Pittsburgh Steelers
38,Pete,Carroll,12,1994-2017,182,107,74,1,0.591,8,0.588,2.3,1,2,Seattle Seahawks
41,Sean,Payton,11,2006-2017,166,98,68,0,0.59,5,0.6,2.1,1,1,New Orleans Saints
47,Jack,Del Rio,12,2003-2017,178,90,88,0,0.506,3,0.25,2.8,0,0,Oakland Raiders
50,John,Harbaugh,10,2008-2017,151,88,63,0,0.583,6,0.667,2.1,1,1,Baltimore Ravens
75,Jason,Garrett,8,2010-2017,110,61,49,0,0.555,2,0.333,2.4,0,0,Dallas Cowboys
82,Ron,Rivera,7,2011-2017,103,57,45,1,0.558,3,0.5,2,0,1,Carolina Panthers
85,Jim,Caldwell,7,2009-2017,102,56,46,0,0.549,4,0.333,2.3,0,1,Detroit Lions
98,Chuck,Pagano,6,2012-2017,87,51,36,0,0.586,3,0.5,2.2,0,0,Indianapolis Colts
108,Bruce,Arians,5,2013-2017,71,44,26,1,0.627,2,0.333,2.2,0,0,Arizona Cardinals
139,Mike,Mularkey,6,2004-2017,80,31,49,0,0.388,0,0,2.8,0,0,Tennessee Titans
140,Mike,Zimmer,4,2014-2017,55,31,24,0,0.564,1,0,2,0,0,Minnesota Vikings
145,Bill,O'Brien,4,2014-2017,54,30,24,0,0.556,2,0.333,1.8,0,0,Houston Texans
163,Jay,Gruden,4,2014-2017,54,24,29,1,0.454,1,0,2.5,0,0,Washington Redskins
173,Dan,Quinn,3,2015-2017,38,22,16,0,0.579,1,0.667,2,0,1,Atlanta Falcons
180,Todd,Bowles,4,2011-2017,42,20,22,0,0.476,0,0,3.3,0,0,New York Jets
183,Doug,Marrone,4,2013-2017,41,20,21,0,0.488,0,0,2.8,0,0,Jacksonville Jaguars
219,Adam,Gase,2,2016-2017,22,14,8,0,0.636,1,0,2,0,0,Miami Dolphins
236,Doug,Pederson,2,2016-2017,23,13,10,0,0.565,0,0,2.5,0,0,Philadelphia Eagles
242,Ben,McAdoo,2,2016-2017,23,12,11,0,0.522,1,0,3,0,0,New York Giants
251,Dirk,Koetter,2,2016-2017,22,11,11,0,0.5,0,0,3,0,0,Tampa Bay Buccaneers
271,Hue,Jackson,3,2011-2017,39,9,30,0,0.231,0,0,3.7,0,0,Cleveland Browns
322,Sean,McVay,1,2017,7,5,2,0,0.714,0,0,1,0,0,Los Angeles Rams
343,Sean,McDermott,1,2017,6,4,2,0,0.667,0,0,2,0,0,Buffalo Bills
367,Vance,Joseph,1,2017,6,3,3,0,0.5,0,0,2,0,0,Denver Broncos
369,Anthony,Lynn,2,2016-2017,8,3,5,0,0.375,0,0,3,0,0,Los Angeles Chargers
489,Kyle,Shanahan,1,2017,7,0,7,0,0,0,0,4,0,0,San Francisco 49ers
