name,wins,losses,ties,winning_percentage,points_for,points_against,net_points,tds,division,sb_titles,head_coach,streak,home_streak,away_streak
New England Patriots,5,2,0,0.714,195,166,29,21,AFC East,5,Bill Belichick,3,0,3
Buffalo Bills,4,2,0,0.667,119,101,18,11,AFC East,0,Sean McDermott,1,3,-1
Miami Dolphins,4,2,0,0.667,92,112,-20,10,AFC East,2,Adam Gase,3,1,1
New York Jets,3,4,0,0.429,137,161,-24,15,AFC East,1,Todd Bowles,-2,1,-2
Pittsburgh Steelers,5,2,0,0.714,147,116,31,14,AFC North,6,Mike Tomlin,2,1,2
Baltimore Ravens,3,4,0,0.429,130,148,-18,13,AFC North,2,John Harbaugh,-2,-1,-1
Cincinnati Bengals,2,4,0,0.333,98,112,-14,11,AFC North,0,Marvin Lewis,-1,-1,-1
Cleveland Browns,0,7,0,0,103,169,-66,12,AFC North,0,Hue Jackson,-7,-4,-3
Tennessee Titans,4,3,0,0.571,158,173,-15,14,AFC South,0,Mike Mularkey,2,1,0
Jacksonville Jaguars,4,3,0,0.571,183,110,73,21,AFC South,0,Doug Marrone,1,-1,2
Houston Texans,3,3,0,0.5,177,147,30,21,AFC South,0,Bill O'Brien,1,0,0
Indianapolis Colts,2,5,0,0.286,119,222,-103,12,AFC South,2,Chuck Pagano,-2,0,-3
Kansas City Chiefs,5,2,0,0.714,207,161,46,23,AFC West,1,Andy Reid,-2,1,2
Denver Broncos,3,3,0,0.5,108,118,-10,12,AFC West,3,Vance Joseph,-2,2,-2
Oakland Raiders,3,4,0,0.429,155,156,-1,18,AFC West,3,Jack Del Rio,3,-2,1
Los Angeles Chargers,3,4,0,0.429,137,131,6,17,AFC West,0,Anthony Lynn,1,0,-1
Philadelphia Eagles,6,1,0,0.857,199,146,53,21,NFC East,0,Doug Pederson,5,3,2
Dallas Cowboys,3,3,0,0.5,165,142,23,21,NFC East,5,Jason Garrett,1,-1,1
Washington Redskins,3,3,0,0.5,141,147,-6,16,NFC East,3,Jay Gruden,1,1,-1
New York Giants,1,6,0,0.143,112,156,-44,13,NFC East,4,Ben McAdoo,1,-3,-2
Minnesota Vikings,5,2,0,0.714,146,119,27,14,NFC North,0,Mike Zimmer,3,3,0
Green Bay Packers,4,3,0,0.571,164,161,3,21,NFC North,4,Mike McCarthy,-2,2,-1
Detroit Lions,3,3,0,0.5,161,149,12,19,NFC North,0,Jim Caldwell,-2,-1,1
Chicago Bears,3,4,0,0.429,122,151,-29,15,NFC North,1,John Fox,2,0,-1
New Orleans Saints,4,2,0,0.667,171,133,38,19,NFC South,1,Sean Payton,4,0,2
Carolina Panthers,4,3,0,0.571,131,139,-8,12,NFC South,0,Carolina Panthers,-2,-1,2
Atlanta Falcons,3,3,0,0.5,128,132,-4,14,NFC South,0,Dan Quinn,-3,-1,1
Tampa Bay Buccaneers,2,4,0,0.333,145,151,-6,18,NFC South,1,Dirk Koetter,-3,1,-3
Los Angeles Rams,5,2,0,0.714,212,138,74,21,NFC West,1,Sean McVay,2,0,3
Seattle Seahawks,4,2,0,0.667,134,94,40,15,NFC West,1,Pete Carroll,3,2,0
Arizona Cardinals,3,4,0,0.429,119,191,-72,13,NFC West,0,Bruce Arians,-1,1,-2
San Francisco 49ers,0,7,0,0,123,186,-63,11,NFC West,5,Kyle Shanahan,-7,-3,-3
